id,menu_id,page_number,image_id,full_height,full_width,uuid
44455,26343,3.0,2042549,5342.0,3715.0,a497bb2c-6cbb-73a6-e040-e00a1806309e
44456,26343,4.0,2042550,5329.0,3167.0,a497bb2c-6cbc-73a6-e040-e00a1806309e
44457,26343,5.0,2042551,5333.0,3433.0,a497bb2c-6cbd-73a6-e040-e00a1806309e
44458,26343,6.0,2042552,5350.0,3679.0,a497bb2c-6cbe-73a6-e040-e00a1806309e
44459,26343,7.0,2042553,5427.0,3840.0,a497bb2c-6cbf-73a6-e040-e00a1806309e
44460,26344,1.0,2042019,5409.0,3833.0,a4958095-455c-074d-e040-e00a1806792c
44461,26344,2.0,2042554,5368.0,3756.0,a49957e3-4478-f46d-e040-e00a18063cd0
44462,26344,3.0,2042555,5353.0,3699.0,a49957e3-4479-f46d-e040-e00a18063cd0
44463,26344,4.0,2042556,5351.0,3178.0,a49957e3-447a-f46d-e040-e00a18063cd0
44464,26344,5.0,2042557,5347.0,3444.0,a49957e3-447b-f46d-e040-e00a18063cd0
44465,26344,6.0,2042558,5343.0,3713.0,a49957e3-447c-f46d-e040-e00a18063cd0
44466,26344,7.0,2042559,5434.0,3844.0,a49957e3-447d-f46d-e040-e00a18063cd0
44467,26345,1.0,2042020,5436.0,3854.0,a4958095-455d-074d-e040-e00a1806792c
44468,26345,2.0,2042560,5374.0,3765.0,a4996095-d2b5-2be6-e040-e00a18063d94
44469,26345,3.0,2042561,5348.0,3716.0,a4996095-d2b6-2be6-e040-e00a18063d94
44470,26345,4.0,2042562,5331.0,1474.0,a4996095-d2b7-2be6-e040-e00a18063d94
44471,26345,5.0,2042563,5367.0,2923.0,a4996095-d2b8-2be6-e040-e00a18063d94
44472,26345,6.0,2042564,5348.0,3701.0,a4996095-d2b9-2be6-e040-e00a18063d94
44473,26345,7.0,2042565,5426.0,3839.0,a4996095-d2ba-2be6-e040-e00a18063d94
44474,26346,1.0,2042021,4638.0,3388.0,a4958095-455e-074d-e040-e00a1806792c
44475,26346,2.0,2042566,4626.0,3347.0,a4990244-ef4a-774e-e040-e00a180631af
44476,26346,3.0,2042567,4622.0,3339.0,a4990244-ef4b-774e-e040-e00a180631af
44477,26346,4.0,2042568,4644.0,3383.0,a4990244-ef4c-774e-e040-e00a180631af
44481,26348,1.0,2042023,4806.0,6110.0,a4958095-4560-074d-e040-e00a1806792c
44482,26348,2.0,2042571,6076.0,4717.0,a4a73de8-4927-95bf-e040-e00a180613ed
44483,26348,3.0,2042572,6091.0,4696.0,a4a73de8-4928-95bf-e040-e00a180613ed
44484,26348,4.0,2042573,6079.0,4839.0,a4a73de8-4929-95bf-e040-e00a180613ed
44489,26350,1.0,2042025,3984.0,2865.0,a4958095-4562-074d-e040-e00a1806792c
44490,26350,2.0,2042577,3997.0,5594.0,a4a77e22-3be7-d9b1-e040-e00a1806173e
44491,26350,3.0,2042578,3995.0,2862.0,a4a77e22-3be8-d9b1-e040-e00a1806173e
44492,26351,1.0,2042026,3106.0,2298.0,a4958095-4563-074d-e040-e00a1806792c
44493,26351,2.0,2042579,3091.0,2209.0,a4a6f34a-ec1f-c16d-e040-e00a18061f25
44494,26351,3.0,2042580,3087.0,2254.0,a4a6f34a-ec20-c16d-e040-e00a18061f25
44495,26351,4.0,2042581,3074.0,2281.0,a4a6f34a-ec21-c16d-e040-e00a18061f25
44496,26351,5.0,2042582,3082.0,2228.0,a4a6f34a-ec22-c16d-e040-e00a18061f25
44497,26351,6.0,2042583,3068.0,2270.0,a4a6f34a-ec23-c16d-e040-e00a18061f25
44498,26351,7.0,2042584,3077.0,2240.0,a4a6f34a-ec24-c16d-e040-e00a18061f25
44499,26351,8.0,2042585,3079.0,2273.0,a4a6f34a-ec25-c16d-e040-e00a18061f25
44500,26351,9.0,2042586,3075.0,2250.0,a4a6f34a-ec26-c16d-e040-e00a18061f25
44501,26351,10.0,2042587,3084.0,2276.0,a4a6f34a-ec27-c16d-e040-e00a18061f25
44502,26351,11.0,2042588,3082.0,2266.0,a4a6f34a-ec28-c16d-e040-e00a18061f25
44503,26351,12.0,2042589,3065.0,2255.0,a4a6f34a-ec29-c16d-e040-e00a18061f25
44504,26351,13.0,2042590,3077.0,2266.0,a4a6f34a-ec2a-c16d-e040-e00a18061f25
44505,26351,14.0,2042591,3080.0,2242.0,a4a6f34a-ec2b-c16d-e040-e00a18061f25
44506,26351,15.0,2042592,3087.0,2266.0,a4a6f34a-ec2c-c16d-e040-e00a18061f25
44507,26351,16.0,2042593,3088.0,2242.0,a4a6f34a-ec2d-c16d-e040-e00a18061f25
44508,26351,17.0,2042594,3105.0,2272.0,a4a6f34a-ec2e-c16d-e040-e00a18061f25
44509,26351,18.0,2042595,3103.0,2284.0,a4a6f34a-ec2f-c16d-e040-e00a18061f25
44513,26353,1.0,2042028,5139.0,3751.0,a4958095-4565-074d-e040-e00a1806792c
44514,26353,2.0,2042598,4773.0,3401.0,a4a79b68-a517-dfb6-e040-e00a180626cf
44515,26353,3.0,2042599,4773.0,3487.0,a4a79b68-a518-dfb6-e040-e00a180626cf
44516,26354,1.0,2042075,5118.0,3758.0,a4958095-4594-074d-e040-e00a1806792c
44517,26354,2.0,2042600,5104.0,3702.0,a4a90334-af45-9cca-e040-e00a180626aa
44518,26354,3.0,2042601,5137.0,3744.0,a4a90334-af46-9cca-e040-e00a180626aa
44525,26357,1.0,2042079,5257.0,4076.0,a4958095-4598-074d-e040-e00a1806792c
44526,26357,2.0,2042610,4973.0,3927.0,a4aa2c3f-d8d2-6927-e040-e00a180641b5
44527,26357,3.0,2042611,4984.0,3911.0,a4aa2c3f-d8d3-6927-e040-e00a180641b5
44528,26357,4.0,2042612,4983.0,3932.0,a4aa2c3f-d8d4-6927-e040-e00a180641b5
44529,26357,5.0,2042613,5025.0,3868.0,a4aa2c3f-d8d5-6927-e040-e00a180641b5
44530,26357,6.0,2042614,5261.0,4055.0,a4aa2c3f-d8d6-6927-e040-e00a180641b5
44540,26362,1.0,2042083,5902.0,4272.0,a4958095-459c-074d-e040-e00a1806792c
44541,26362,2.0,2042642,4674.0,6588.0,a4ab7132-e3e7-762e-e040-e00a18065534
44542,26362,3.0,2042643,5888.0,4248.0,a4ab7132-e3e8-762e-e040-e00a18065534
44547,26365,1.0,2042086,5592.0,4487.0,a4958095-459f-074d-e040-e00a1806792c
44548,26365,2.0,2042646,4246.0,6671.0,a4aad1cf-5a2e-5c0f-e040-e00a180663a8
44549,26365,3.0,2042647,5615.0,4483.0,a4aad1cf-5a2f-5c0f-e040-e00a180663a8
44557,26369,1.0,2042090,5052.0,2654.0,a4958095-45a3-074d-e040-e00a1806792c
44558,26369,2.0,2042653,3624.0,5553.0,a4b9f962-0f23-b50d-e040-e00a180637e5
44559,26369,3.0,2042654,5006.0,2640.0,a4b9f962-0f24-b50d-e040-e00a180637e5
44563,26371,1.0,2042092,3624.0,5294.0,a4958095-45a5-074d-e040-e00a1806792c
44564,26371,2.0,2042861,4748.0,6373.0,a4bb13dd-b107-2301-e040-e00a18063b0b
44565,26371,3.0,2042862,5256.0,3580.0,a4bb13dd-b108-2301-e040-e00a18063b0b
44566,26372,1.0,2042093,4702.0,3374.0,a4958095-45a6-074d-e040-e00a1806792c
44567,26372,2.0,2042945,4726.0,6642.0,a4bb651b-2db5-548c-e040-e00a1806423f
44568,26372,3.0,2042946,4704.0,3373.0,a4bb651b-2db6-548c-e040-e00a1806423f
44569,26373,1.0,2042094,4531.0,6633.0,a4958095-45a7-074d-e040-e00a1806792c
44570,26373,2.0,2042950,4705.0,6310.0,a4bb6b03-14c6-4ecd-e040-e00a180642b6
44571,26373,3.0,2042951,6619.0,4491.0,a4bb6b03-14c7-4ecd-e040-e00a180642b6
44572,26374,1.0,2042095,4677.0,3371.0,a4958095-45a8-074d-e040-e00a1806792c
44573,26374,2.0,2042980,4700.0,6651.0,a4ba8478-55de-8a6b-e040-e00a1806449b
44574,26374,3.0,2042981,4701.0,3380.0,a4ba8478-55df-8a6b-e040-e00a1806449b
44575,26375,1.0,2042142,2742.0,3733.0,a4958095-45d7-074d-e040-e00a1806792c
44576,26375,2.0,2042985,3722.0,5399.0,a4bb54a4-382e-d85f-e040-e00a180640b8
44577,26375,3.0,2042986,3726.0,2753.0,a4bb54a4-382f-d85f-e040-e00a180640b8
44578,26376,1.0,2042143,2475.0,1631.0,a4958095-45d8-074d-e040-e00a1806792c
44579,26376,2.0,2043136,2443.0,3170.0,a4bc54fe-1cef-185a-e040-e00a18064fb6
44580,26376,3.0,2043137,2441.0,3158.0,a4bc54fe-1cf0-185a-e040-e00a18064fb6
44581,26376,4.0,2043138,2436.0,3171.0,a4bc54fe-1cf1-185a-e040-e00a18064fb6
44582,26376,5.0,2043139,2431.0,3162.0,a4bc54fe-1cf2-185a-e040-e00a18064fb6
44583,26376,6.0,2043140,2436.0,3163.0,a4bc54fe-1cf3-185a-e040-e00a18064fb6
44584,26376,7.0,2043141,2445.0,3174.0,a4bc54fe-1cf4-185a-e040-e00a18064fb6
44585,26376,8.0,2043142,2447.0,3175.0,a4bc54fe-1cf5-185a-e040-e00a18064fb6
44586,26376,9.0,2043143,1624.0,2445.0,a4bc54fe-1cf6-185a-e040-e00a18064fb6
44590,26378,1.0,2042145,2486.0,1618.0,a4958095-45da-074d-e040-e00a1806792c
44591,26378,2.0,2043159,2437.0,3139.0,a4bc7c7a-0cc1-a09b-e040-e00a180651f1
44592,26378,3.0,2043160,2446.0,3134.0,a4bc7c7a-0cc2-a09b-e040-e00a180651f1
44593,26378,4.0,2043161,2439.0,3128.0,a4bc7c7a-0cc3-a09b-e040-e00a180651f1
44594,26378,5.0,2043162,2448.0,3123.0,a4bc7c7a-0cc4-a09b-e040-e00a180651f1
44595,26378,6.0,2043163,2445.0,3145.0,a4bc7c7a-0cc5-a09b-e040-e00a180651f1
44596,26378,7.0,2043164,2444.0,3136.0,a4bc7c7a-0cc6-a09b-e040-e00a180651f1
44597,26378,8.0,2043165,2447.0,3136.0,a4bc7c7a-0cc7-a09b-e040-e00a180651f1
44598,26378,9.0,2043166,1657.0,2478.0,a4bc7c7a-0cc8-a09b-e040-e00a180651f1
44606,26382,1.0,2042149,4933.0,3728.0,a4958095-45de-074d-e040-e00a1806792c
44607,26382,2.0,2043273,4316.0,6423.0,a4bbf9f6-5ad2-21dc-e040-e00a18065515
44608,26382,3.0,2043274,4911.0,3732.0,a4bbf9f6-5ad3-21dc-e040-e00a18065515
44613,26384,1.0,2042151,4810.0,3097.0,a4958095-45e0-074d-e040-e00a1806792c
